,Face_Model,Heuristics,Identification_Model,Metric,Values,Probe_place,Gallery_place,mAP
0,retinaface,none,VGG-Face,cosine,"0.004366812227074236,0.026200873362445413,0.03056768558951965,0.034934497816593885,0.048034934497816595,0.056768558951965066,0.06550218340611354,0.07423580786026202,0.08296943231441048,0.08733624454148471,0.10043668122270742,0.11353711790393013,0.12663755458515283,0.13973799126637554,0.14847161572052403,0.15283842794759825,0.1615720524017467,0.16593886462882096,0.17467248908296942,0.1965065502183406,0.21397379912663755,0.22707423580786026,0.2314410480349345,0.2314410480349345,0.24017467248908297,0.24890829694323144,0.2576419213973799,0.26200873362445415,0.2838427947598253,0.2925764192139738,0.3056768558951965,0.314410480349345,0.31877729257641924,0.32751091703056767,0.3406113537117904,0.34497816593886466,0.3537117903930131,0.3624454148471616,0.37117903930131,0.37554585152838427,0.3799126637554585,0.38427947598253276,0.388646288209607,0.388646288209607,0.39737991266375544,0.39737991266375544,0.4017467248908297,0.4104803493449782,0.4104803493449782,0.4366812227074236,0.4410480349344978,0.4497816593886463,0.4585152838427948,0.462882096069869,0.48034934497816595,0.4847161572052402,0.4890829694323144,0.4890829694323144,0.49344978165938863,0.4978165938864629,0.4978165938864629,0.5065502183406113,0.5109170305676856,0.5109170305676856,0.5240174672489083,0.5327510917030568,0.537117903930131,0.537117903930131,0.5458515283842795,0.5589519650655022,0.5589519650655022,0.5633187772925764,0.5720524017467249,0.5764192139737991,0.5807860262008734,0.5895196506550219,0.5938864628820961,0.5982532751091703,0.6026200873362445,0.611353711790393,0.6157205240174672,0.6200873362445415,0.6200873362445415,0.6200873362445415,0.6244541484716157,0.6244541484716157,0.6244541484716157,0.6462882096069869,0.6462882096069869,0.6462882096069869,0.6593886462882096,0.6637554585152838,0.6681222707423581,0.6681222707423581,0.6681222707423581,0.6681222707423581,0.6681222707423581,0.6681222707423581,0.6724890829694323,0.6812227074235808,0.6812227074235808,0.6812227074235808,0.6899563318777293,0.6899563318777293,0.6899563318777293,0.6943231441048034,0.6943231441048034",Ayagaures,PresaDeHornos,0.03266577994618966
1,AlignedReId,None,ResNet50,cosine,"0.0,0.0,0.0,0.0,0.004901960784313725,0.004901960784313725,0.00980392156862745,0.00980392156862745,0.00980392156862745,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.024509803921568627,0.03431372549019608,0.03431372549019608,0.04411764705882353,0.04411764705882353,0.04411764705882353,0.058823529411764705,0.06372549019607843,0.0784313725490196,0.08823529411764706,0.08823529411764706,0.09803921568627451,0.09803921568627451,0.10294117647058823,0.10784313725490197,0.10784313725490197,0.10784313725490197,0.11764705882352941,0.12745098039215685,0.12745098039215685,0.12745098039215685,0.13725490196078433,0.14215686274509803,0.15196078431372548,0.15196078431372548,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.1715686274509804,0.1715686274509804,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.19117647058823528,0.19117647058823528,0.19607843137254902,0.20588235294117646,0.2107843137254902,0.21568627450980393,0.21568627450980393,0.22058823529411764,0.22058823529411764,0.22549019607843138,0.23039215686274508,0.23039215686274508,0.23529411764705882,0.24509803921568626,0.24509803921568626,0.24509803921568626,0.24509803921568626,0.24509803921568626,0.2549019607843137,0.2549019607843137,0.2647058823529412,0.27450980392156865,0.28431372549019607,0.28431372549019607,0.29411764705882354,0.3088235294117647,0.3088235294117647,0.3088235294117647,0.3137254901960784,0.31862745098039214,0.3235294117647059,0.3235294117647059,0.3333333333333333,0.3333333333333333,0.3382352941176471,0.3431372549019608,0.3431372549019608,0.3480392156862745,0.3480392156862745,0.35784313725490197,0.35784313725490197,0.3627450980392157,0.37745098039215685,0.37745098039215685,0.3872549019607843,0.39705882352941174,0.39705882352941174,0.4068627450980392,0.4117647058823529,0.4166666666666667,0.4215686274509804,0.4362745098039216,0.4411764705882353,0.44607843137254904,0.45098039215686275,0.45098039215686275,0.46078431372549017,0.47549019607843135,0.4852941176470588,0.49019607843137253",Ayagaures,PresaDeHornos,0.014242744393949546
2,AlignedReId,None,ResNet50,euclidean,"0.18137254901960784,0.25,0.28921568627450983,0.3088235294117647,0.3235294117647059,0.3382352941176471,0.35294117647058826,0.37745098039215685,0.39215686274509803,0.4019607843137255,0.4166666666666667,0.45098039215686275,0.45588235294117646,0.45588235294117646,0.47549019607843135,0.49019607843137253,0.49019607843137253,0.5,0.5098039215686274,0.5098039215686274,0.5098039215686274,0.5245098039215687,0.5343137254901961,0.5490196078431373,0.5490196078431373,0.5588235294117647,0.5686274509803921,0.5735294117647058,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5931372549019608,0.6078431372549019,0.6078431372549019,0.6176470588235294,0.6225490196078431,0.6225490196078431,0.6225490196078431,0.6274509803921569,0.6372549019607843,0.6421568627450981,0.6421568627450981,0.6470588235294118,0.6568627450980392,0.6764705882352942,0.6813725490196079,0.6862745098039216,0.696078431372549,0.696078431372549,0.696078431372549,0.696078431372549,0.7009803921568627,0.7156862745098039,0.7254901960784313,0.7254901960784313,0.7303921568627451,0.7450980392156863,0.7647058823529411,0.7696078431372549,0.7745098039215687,0.7794117647058824,0.7794117647058824,0.7794117647058824,0.7892156862745098,0.7990196078431373,0.803921568627451,0.8137254901960784,0.8137254901960784,0.8137254901960784,0.8137254901960784,0.8137254901960784,0.8137254901960784,0.8186274509803921,0.8333333333333334,0.8480392156862745,0.8578431372549019,0.8578431372549019,0.8676470588235294,0.8725490196078431,0.8774509803921569,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8872549019607843,0.8921568627450981,0.8970588235294118,0.8970588235294118,0.8970588235294118,0.8970588235294118,0.8970588235294118,0.9019607843137255,0.9019607843137255,0.9019607843137255,0.9068627450980392,0.9117647058823529,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9215686274509803,0.9215686274509803,0.9215686274509803,0.9215686274509803,0.9215686274509803,0.9264705882352942",Ayagaures,PresaDeHornos,0.18984581526453306
3,AlignedReId,None,ResNet50,euclidean,"0.3137254901960784,0.38235294117647056,0.4411764705882353,0.4803921568627451,0.5294117647058824,0.553921568627451,0.5833333333333334,0.6029411764705882,0.6323529411764706,0.6421568627450981,0.6470588235294118,0.6666666666666666,0.6764705882352942,0.7009803921568627,0.7107843137254902,0.7254901960784313,0.7254901960784313,0.7450980392156863,0.7549019607843137,0.7647058823529411,0.7696078431372549,0.7696078431372549,0.7892156862745098,0.7941176470588235,0.7941176470588235,0.7990196078431373,0.8137254901960784,0.8137254901960784,0.8186274509803921,0.8235294117647058,0.8284313725490197,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8382352941176471,0.8480392156862745,0.8480392156862745,0.8578431372549019,0.8578431372549019,0.8578431372549019,0.8578431372549019,0.8627450980392157,0.8676470588235294,0.8676470588235294,0.8725490196078431,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8921568627450981,0.8921568627450981,0.8921568627450981,0.8970588235294118,0.8970588235294118,0.9019607843137255,0.9019607843137255,0.9019607843137255,0.9068627450980392,0.9068627450980392,0.9068627450980392,0.9068627450980392,0.9068627450980392,0.9068627450980392,0.9068627450980392,0.9068627450980392,0.9117647058823529,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9215686274509803,0.9215686274509803,0.9215686274509803,0.9264705882352942,0.9264705882352942,0.9264705882352942,0.9264705882352942,0.9313725490196079,0.9362745098039216,0.9362745098039216,0.9362745098039216,0.9362745098039216,0.9362745098039216,0.9411764705882353,0.946078431372549,0.946078431372549,0.946078431372549,0.946078431372549,0.946078431372549,0.946078431372549,0.946078431372549,0.946078431372549,0.946078431372549,0.946078431372549,0.946078431372549,0.946078431372549,0.946078431372549,0.946078431372549,0.9509803921568627,0.9509803921568627,0.9558823529411765,0.9558823529411765",Ayagaures,ParqueSur,0.3609322619559891
4,AlignedReId,None,ResNet50,cosine,"0.0,0.0,0.0,0.0,0.0,0.004901960784313725,0.004901960784313725,0.00980392156862745,0.00980392156862745,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.024509803921568627,0.024509803921568627,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.03431372549019608,0.03431372549019608,0.03431372549019608,0.03431372549019608,0.04411764705882353,0.04411764705882353,0.04411764705882353,0.04411764705882353,0.04411764705882353,0.04411764705882353,0.04411764705882353,0.049019607843137254,0.049019607843137254,0.049019607843137254,0.049019607843137254,0.049019607843137254,0.049019607843137254,0.049019607843137254,0.049019607843137254,0.049019607843137254,0.049019607843137254,0.049019607843137254,0.049019607843137254,0.049019607843137254,0.05392156862745098,0.05392156862745098,0.05392156862745098,0.058823529411764705,0.058823529411764705,0.06372549019607843,0.06862745098039216,0.06862745098039216,0.06862745098039216,0.07352941176470588,0.07352941176470588,0.07352941176470588,0.07352941176470588,0.07352941176470588,0.0784313725490196,0.08333333333333333,0.08333333333333333,0.08823529411764706,0.08823529411764706,0.08823529411764706,0.08823529411764706,0.09313725490196079,0.09313725490196079,0.09313725490196079,0.09313725490196079,0.09313725490196079,0.09313725490196079,0.09803921568627451,0.09803921568627451,0.09803921568627451,0.09803921568627451,0.09803921568627451,0.09803921568627451,0.09803921568627451,0.09803921568627451,0.09803921568627451,0.09803921568627451,0.10294117647058823,0.10294117647058823,0.10294117647058823,0.10294117647058823,0.10294117647058823,0.10784313725490197,0.10784313725490197,0.10784313725490197,0.10784313725490197,0.10784313725490197,0.10784313725490197,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.12254901960784313,0.1323529411764706,0.1323529411764706,0.1323529411764706,0.15196078431372548,0.15196078431372548",Ayagaures,ParqueSur,0.011035877444873572
5,AlignedReId,None,ResNet50,cosine,"0.0,0.005235602094240838,0.007853403141361256,0.010471204188481676,0.015706806282722512,0.020942408376963352,0.02356020942408377,0.02356020942408377,0.02617801047120419,0.028795811518324606,0.031413612565445025,0.031413612565445025,0.034031413612565446,0.034031413612565446,0.03664921465968586,0.03926701570680628,0.041884816753926704,0.04712041884816754,0.049738219895287955,0.0549738219895288,0.0549738219895288,0.05759162303664921,0.060209424083769635,0.06806282722513089,0.07591623036649214,0.07591623036649214,0.07591623036649214,0.07591623036649214,0.07853403141361257,0.08900523560209424,0.08900523560209424,0.09162303664921466,0.09162303664921466,0.09162303664921466,0.09424083769633508,0.09424083769633508,0.09947643979057591,0.09947643979057591,0.10471204188481675,0.1099476439790576,0.1099476439790576,0.112565445026178,0.112565445026178,0.112565445026178,0.11780104712041885,0.12041884816753927,0.12303664921465969,0.12827225130890052,0.13089005235602094,0.13089005235602094,0.13089005235602094,0.13089005235602094,0.13350785340314136,0.13612565445026178,0.14397905759162305,0.14921465968586387,0.15706806282722513,0.15706806282722513,0.15706806282722513,0.1649214659685864,0.1649214659685864,0.17015706806282724,0.17015706806282724,0.17277486910994763,0.17539267015706805,0.17801047120418848,0.17801047120418848,0.1806282722513089,0.18586387434554974,0.18586387434554974,0.19109947643979058,0.19109947643979058,0.193717277486911,0.19633507853403143,0.20157068062827224,0.20680628272251309,0.21727748691099477,0.2198952879581152,0.2198952879581152,0.2198952879581152,0.225130890052356,0.225130890052356,0.23036649214659685,0.2356020942408377,0.2356020942408377,0.24083769633507854,0.24083769633507854,0.24607329842931938,0.24607329842931938,0.2486910994764398,0.25392670157068065,0.2591623036649215,0.2643979057591623,0.2670157068062827,0.27486910994764396,0.28272251308900526,0.28534031413612565,0.2879581151832461,0.29581151832460734,0.3036649214659686,0.3036649214659686,0.31151832460732987,0.31675392670157065,0.3193717277486911,0.3219895287958115,0.32460732984293195,0.32460732984293195",Arucas,Ayagaures,0.018208074088982968
6,AlignedReId,None,ResNet50,cosine,"0.002617801047120419,0.002617801047120419,0.002617801047120419,0.005235602094240838,0.007853403141361256,0.007853403141361256,0.007853403141361256,0.010471204188481676,0.013089005235602094,0.015706806282722512,0.01832460732984293,0.01832460732984293,0.01832460732984293,0.020942408376963352,0.020942408376963352,0.02356020942408377,0.02356020942408377,0.02617801047120419,0.028795811518324606,0.028795811518324606,0.028795811518324606,0.028795811518324606,0.034031413612565446,0.034031413612565446,0.03664921465968586,0.03664921465968586,0.03664921465968586,0.03664921465968586,0.041884816753926704,0.04712041884816754,0.04712041884816754,0.04712041884816754,0.05235602094240838,0.05235602094240838,0.05235602094240838,0.0549738219895288,0.0549738219895288,0.0549738219895288,0.060209424083769635,0.06544502617801047,0.06544502617801047,0.06544502617801047,0.07853403141361257,0.08115183246073299,0.08376963350785341,0.08900523560209424,0.09162303664921466,0.09162303664921466,0.0968586387434555,0.10209424083769633,0.10471204188481675,0.10732984293193717,0.10732984293193717,0.10732984293193717,0.1099476439790576,0.1099476439790576,0.11518324607329843,0.11780104712041885,0.1256544502617801,0.1256544502617801,0.13089005235602094,0.13350785340314136,0.13350785340314136,0.13612565445026178,0.1387434554973822,0.1387434554973822,0.14659685863874344,0.14921465968586387,0.1518324607329843,0.1544502617801047,0.15968586387434555,0.16230366492146597,0.1649214659685864,0.17277486910994763,0.17539267015706805,0.17801047120418848,0.1806282722513089,0.18848167539267016,0.19109947643979058,0.19633507853403143,0.19895287958115182,0.20157068062827224,0.20418848167539266,0.20680628272251309,0.2094240837696335,0.21465968586387435,0.21727748691099477,0.2198952879581152,0.22251308900523561,0.22774869109947643,0.23036649214659685,0.23036649214659685,0.23036649214659685,0.23298429319371727,0.2356020942408377,0.2356020942408377,0.24345549738219896,0.25392670157068065,0.25654450261780104,0.2617801047120419,0.2617801047120419,0.2617801047120419,0.2670157068062827,0.2670157068062827,0.27225130890052357,0.2774869109947644,0.2801047120418848",Arucas,ParqueSur,0.013064504964742266
7,AlignedReId,None,ResNet50,cosine,"0.007853403141361256,0.007853403141361256,0.010471204188481676,0.013089005235602094,0.013089005235602094,0.013089005235602094,0.015706806282722512,0.015706806282722512,0.02356020942408377,0.02617801047120419,0.028795811518324606,0.034031413612565446,0.03664921465968586,0.03926701570680628,0.04450261780104712,0.049738219895287955,0.05759162303664921,0.05759162303664921,0.05759162303664921,0.060209424083769635,0.06806282722513089,0.06806282722513089,0.07068062827225131,0.07853403141361257,0.08376963350785341,0.09162303664921466,0.0968586387434555,0.09947643979057591,0.10732984293193717,0.11518324607329843,0.11518324607329843,0.12303664921465969,0.1256544502617801,0.12827225130890052,0.13089005235602094,0.13612565445026178,0.14659685863874344,0.14921465968586387,0.14921465968586387,0.16230366492146597,0.16230366492146597,0.16230366492146597,0.17015706806282724,0.17277486910994763,0.17277486910994763,0.18586387434554974,0.19109947643979058,0.19109947643979058,0.20157068062827224,0.20418848167539266,0.21204188481675393,0.21727748691099477,0.22251308900523561,0.23298429319371727,0.24607329842931938,0.24607329842931938,0.2591623036649215,0.2670157068062827,0.2696335078534031,0.2696335078534031,0.27486910994764396,0.28272251308900526,0.2879581151832461,0.2905759162303665,0.29581151832460734,0.29581151832460734,0.3010471204188482,0.3010471204188482,0.3036649214659686,0.3089005235602094,0.31413612565445026,0.32460732984293195,0.32460732984293195,0.3324607329842932,0.337696335078534,0.34554973821989526,0.34554973821989526,0.3481675392670157,0.3481675392670157,0.3507853403141361,0.3586387434554974,0.3586387434554974,0.3612565445026178,0.36649214659685864,0.3743455497382199,0.3769633507853403,0.38219895287958117,0.38219895287958117,0.38481675392670156,0.387434554973822,0.3900523560209424,0.39790575916230364,0.4031413612565445,0.4031413612565445,0.4162303664921466,0.4162303664921466,0.4214659685863874,0.42670157068062825,0.4319371727748691,0.43717277486910994,0.4424083769633508,0.45287958115183247,0.4581151832460733,0.4581151832460733,0.46335078534031415,0.4738219895287958,0.4816753926701571",Arucas,PresaDeHornos,0.018597719640960825
8,AlignedReId,None,ResNet50,cosine,"0.0,0.0,0.002617801047120419,0.005235602094240838,0.005235602094240838,0.005235602094240838,0.005235602094240838,0.007853403141361256,0.013089005235602094,0.020942408376963352,0.02356020942408377,0.02617801047120419,0.031413612565445025,0.034031413612565446,0.041884816753926704,0.04450261780104712,0.049738219895287955,0.05235602094240838,0.05235602094240838,0.06282722513089005,0.06806282722513089,0.07591623036649214,0.07853403141361257,0.08638743455497382,0.08638743455497382,0.09162303664921466,0.0968586387434555,0.0968586387434555,0.10209424083769633,0.10732984293193717,0.1099476439790576,0.112565445026178,0.11780104712041885,0.12303664921465969,0.13089005235602094,0.13612565445026178,0.1387434554973822,0.14397905759162305,0.14659685863874344,0.14659685863874344,0.15706806282722513,0.15706806282722513,0.1649214659685864,0.17015706806282724,0.17277486910994763,0.1806282722513089,0.18324607329842932,0.19109947643979058,0.19633507853403143,0.19895287958115182,0.20418848167539266,0.21465968586387435,0.21727748691099477,0.225130890052356,0.23036649214659685,0.23036649214659685,0.2356020942408377,0.24083769633507854,0.24345549738219896,0.2643979057591623,0.27486910994764396,0.2774869109947644,0.28272251308900526,0.2879581151832461,0.2931937172774869,0.29581151832460734,0.306282722513089,0.3089005235602094,0.3089005235602094,0.3089005235602094,0.31413612565445026,0.3193717277486911,0.3219895287958115,0.32722513089005234,0.3298429319371728,0.3298429319371728,0.3324607329842932,0.337696335078534,0.34554973821989526,0.3481675392670157,0.3586387434554974,0.3586387434554974,0.3717277486910995,0.3769633507853403,0.3795811518324607,0.3900523560209424,0.39267015706806285,0.39267015706806285,0.39790575916230364,0.4083769633507853,0.41361256544502617,0.42408376963350786,0.4293193717277487,0.43717277486910994,0.4397905759162304,0.450261780104712,0.45549738219895286,0.4607329842931937,0.46596858638743455,0.4790575916230366,0.4816753926701571,0.49476439790575916,0.5,0.5104712041884817,0.5157068062827225,0.5261780104712042,0.5366492146596858",Arucas,Teror,0.016733470719561747
9,AlignedReId,None,ResNet50,cosine,"0.0,0.0,0.0,0.0,0.0,0.0,0.004901960784313725,0.00980392156862745,0.00980392156862745,0.014705882352941176,0.0196078431372549,0.024509803921568627,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.03431372549019608,0.03431372549019608,0.0392156862745098,0.049019607843137254,0.049019607843137254,0.058823529411764705,0.06372549019607843,0.0784313725490196,0.0784313725490196,0.08333333333333333,0.08333333333333333,0.08823529411764706,0.08823529411764706,0.08823529411764706,0.08823529411764706,0.08823529411764706,0.08823529411764706,0.09313725490196079,0.09803921568627451,0.11274509803921569,0.12254901960784313,0.12745098039215685,0.12745098039215685,0.13725490196078433,0.13725490196078433,0.13725490196078433,0.14215686274509803,0.14705882352941177,0.14705882352941177,0.14705882352941177,0.14705882352941177,0.14705882352941177,0.14705882352941177,0.14705882352941177,0.14705882352941177,0.1568627450980392,0.1568627450980392,0.1568627450980392,0.1568627450980392,0.1568627450980392,0.16176470588235295,0.16176470588235295,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.1715686274509804,0.1715686274509804,0.1715686274509804,0.1715686274509804,0.1715686274509804,0.1715686274509804,0.1715686274509804,0.1715686274509804,0.1715686274509804,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.18137254901960784,0.18627450980392157,0.18627450980392157,0.19607843137254902,0.19607843137254902,0.19607843137254902,0.20098039215686275,0.20098039215686275,0.20098039215686275,0.2107843137254902,0.2107843137254902,0.2107843137254902,0.2107843137254902,0.21568627450980393,0.21568627450980393,0.21568627450980393,0.22058823529411764,0.22058823529411764,0.22549019607843138,0.22549019607843138,0.23039215686274508,0.23529411764705882,0.23529411764705882,0.24019607843137256,0.24019607843137256,0.24509803921568626,0.24509803921568626,0.25,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.25980392156862747,0.25980392156862747,0.25980392156862747",Ayagaures,Arucas,0.012996971472069494
