,Face_Model,Heuristics,Identification_Model,Metric,Values,mAPtop1,mAPtop5,Probe_place,Gallery_place
0,retinaface,none,VGG-Face,cosine,"0.008733624454148471,0.026200873362445413,0.05240174672489083,0.08733624454148471,0.09170305676855896,0.09170305676855896,0.10043668122270742,0.10043668122270742,0.11353711790393013,0.12663755458515283,0.14410480349344978,0.1572052401746725,0.1615720524017467,0.1615720524017467,0.1703056768558952,0.18340611353711792,0.18777292576419213,0.1965065502183406,0.20087336244541484,0.2096069868995633,0.2096069868995633,0.2096069868995633,0.22270742358078602,0.22270742358078602,0.22707423580786026,0.2314410480349345,0.23580786026200873,0.24890829694323144,0.2576419213973799,0.27074235807860264,0.2838427947598253,0.28820960698689957,0.28820960698689957,0.28820960698689957,0.2925764192139738,0.2925764192139738,0.31004366812227074,0.314410480349345,0.31877729257641924,0.31877729257641924,0.31877729257641924,0.33624454148471616,0.34934497816593885,0.3537117903930131,0.3624454148471616,0.3799126637554585,0.38427947598253276,0.388646288209607,0.388646288209607,0.388646288209607,0.3930131004366812,0.39737991266375544,0.4104803493449782,0.4192139737991266,0.4192139737991266,0.4192139737991266,0.42358078602620086,0.43231441048034935,0.43231441048034935,0.4366812227074236,0.4366812227074236,0.44541484716157204,0.45414847161572053,0.462882096069869,0.4672489082969432,0.4759825327510917,0.4759825327510917,0.4847161572052402,0.4890829694323144,0.4890829694323144,0.49344978165938863,0.5021834061135371,0.5065502183406113,0.5065502183406113,0.5109170305676856,0.5109170305676856,0.5283842794759825,0.537117903930131,0.5414847161572053,0.5545851528384279,0.5589519650655022,0.5589519650655022,0.5633187772925764,0.5676855895196506,0.5764192139737991,0.5807860262008734,0.5851528384279476,0.5938864628820961,0.5938864628820961,0.6026200873362445,0.6069868995633187,0.6157205240174672,0.6157205240174672,0.6244541484716157,0.6244541484716157,0.6331877729257642,0.6331877729257642,0.6419213973799127,0.6462882096069869,0.6550218340611353,0.6550218340611353,0.6550218340611353,0.6681222707423581,0.6724890829694323,0.6724890829694323,0.6768558951965066,0.6768558951965066",0.02356562348374576,0.0244389859291606,Ayagaures,ParqueSur
1,retinaface,none,VGG-Face,euclidean,"0.013100436681222707,0.03056768558951965,0.043668122270742356,0.05240174672489083,0.07423580786026202,0.08296943231441048,0.09170305676855896,0.09170305676855896,0.09606986899563319,0.1091703056768559,0.11353711790393013,0.12663755458515283,0.13100436681222707,0.14847161572052403,0.1615720524017467,0.16593886462882096,0.16593886462882096,0.1703056768558952,0.1703056768558952,0.17467248908296942,0.17903930131004367,0.18777292576419213,0.19213973799126638,0.20087336244541484,0.2096069868995633,0.21397379912663755,0.21397379912663755,0.2183406113537118,0.22270742358078602,0.22707423580786026,0.2314410480349345,0.2314410480349345,0.2314410480349345,0.2445414847161572,0.2445414847161572,0.2445414847161572,0.25327510917030566,0.2576419213973799,0.26200873362445415,0.2663755458515284,0.27510917030567683,0.2794759825327511,0.2838427947598253,0.28820960698689957,0.28820960698689957,0.2925764192139738,0.29694323144104806,0.29694323144104806,0.3056768558951965,0.314410480349345,0.31877729257641924,0.3231441048034934,0.34497816593886466,0.3537117903930131,0.3624454148471616,0.3624454148471616,0.37117903930131,0.37554585152838427,0.37554585152838427,0.388646288209607,0.3930131004366812,0.39737991266375544,0.4017467248908297,0.40611353711790393,0.40611353711790393,0.42358078602620086,0.43231441048034935,0.4366812227074236,0.4410480349344978,0.4497816593886463,0.4497816593886463,0.45414847161572053,0.45414847161572053,0.4672489082969432,0.4759825327510917,0.48034934497816595,0.4890829694323144,0.49344978165938863,0.4978165938864629,0.5065502183406113,0.5065502183406113,0.5065502183406113,0.519650655021834,0.519650655021834,0.5327510917030568,0.5502183406113537,0.5545851528384279,0.5633187772925764,0.5676855895196506,0.5720524017467249,0.5720524017467249,0.5807860262008734,0.5851528384279476,0.5938864628820961,0.5938864628820961,0.5938864628820961,0.5938864628820961,0.6026200873362445,0.6069868995633187,0.6069868995633187,0.6069868995633187,0.6157205240174672,0.6157205240174672,0.6200873362445415,0.6331877729257642,0.6419213973799127,0.6462882096069869",0.0174490538573508,0.01916302765647744,Ayagaures,ParqueSur
2,retinaface,none,VGG-Face,euclidean_l2,"0.008733624454148471,0.026200873362445413,0.05240174672489083,0.08733624454148471,0.09170305676855896,0.09170305676855896,0.10043668122270742,0.10043668122270742,0.11353711790393013,0.12663755458515283,0.14410480349344978,0.1572052401746725,0.1615720524017467,0.1615720524017467,0.1703056768558952,0.18340611353711792,0.18777292576419213,0.1965065502183406,0.20087336244541484,0.2096069868995633,0.2096069868995633,0.2096069868995633,0.2183406113537118,0.2183406113537118,0.22270742358078602,0.22707423580786026,0.2314410480349345,0.2445414847161572,0.25327510917030566,0.2663755458515284,0.2794759825327511,0.2838427947598253,0.2838427947598253,0.2838427947598253,0.28820960698689957,0.28820960698689957,0.3056768558951965,0.31004366812227074,0.314410480349345,0.314410480349345,0.314410480349345,0.3318777292576419,0.34497816593886466,0.34934497816593885,0.35807860262008734,0.37554585152838427,0.3799126637554585,0.38427947598253276,0.38427947598253276,0.38427947598253276,0.388646288209607,0.3930131004366812,0.40611353711790393,0.4148471615720524,0.4148471615720524,0.4148471615720524,0.4192139737991266,0.4279475982532751,0.4279475982532751,0.43231441048034935,0.43231441048034935,0.4410480349344978,0.4497816593886463,0.4585152838427948,0.462882096069869,0.47161572052401746,0.47161572052401746,0.48034934497816595,0.4847161572052402,0.4847161572052402,0.4890829694323144,0.4978165938864629,0.5021834061135371,0.5021834061135371,0.5065502183406113,0.5065502183406113,0.5240174672489083,0.5327510917030568,0.537117903930131,0.5502183406113537,0.5545851528384279,0.5545851528384279,0.5589519650655022,0.5633187772925764,0.5720524017467249,0.5764192139737991,0.5807860262008734,0.5895196506550219,0.5895196506550219,0.5982532751091703,0.6026200873362445,0.611353711790393,0.611353711790393,0.6200873362445415,0.6200873362445415,0.6244541484716157,0.6244541484716157,0.62882096069869,0.62882096069869,0.6375545851528385,0.6375545851528385,0.6375545851528385,0.6462882096069869,0.6506550218340611,0.6506550218340611,0.6550218340611353,0.6550218340611353",0.025976467734109655,0.026849830179524505,Ayagaures,ParqueSur
3,retinaface,none,Facenet,cosine,"0.004366812227074236,0.021834061135371178,0.03056768558951965,0.048034934497816595,0.05240174672489083,0.05240174672489083,0.056768558951965066,0.06550218340611354,0.06986899563318777,0.06986899563318777,0.07423580786026202,0.08733624454148471,0.08733624454148471,0.10043668122270742,0.10480349344978165,0.1091703056768559,0.11353711790393013,0.11790393013100436,0.1222707423580786,0.13100436681222707,0.14847161572052403,0.14847161572052403,0.14847161572052403,0.15283842794759825,0.1572052401746725,0.1572052401746725,0.1572052401746725,0.1615720524017467,0.16593886462882096,0.18340611353711792,0.18340611353711792,0.19213973799126638,0.1965065502183406,0.2052401746724891,0.2052401746724891,0.2096069868995633,0.2096069868995633,0.21397379912663755,0.21397379912663755,0.21397379912663755,0.2183406113537118,0.2183406113537118,0.22707423580786026,0.2314410480349345,0.24017467248908297,0.24017467248908297,0.24017467248908297,0.24890829694323144,0.2663755458515284,0.27074235807860264,0.27510917030567683,0.27510917030567683,0.2925764192139738,0.31004366812227074,0.31004366812227074,0.3231441048034934,0.3231441048034934,0.33624454148471616,0.35807860262008734,0.35807860262008734,0.37117903930131,0.37117903930131,0.37117903930131,0.37554585152838427,0.3799126637554585,0.388646288209607,0.388646288209607,0.388646288209607,0.3930131004366812,0.4017467248908297,0.4104803493449782,0.4148471615720524,0.4148471615720524,0.4279475982532751,0.43231441048034935,0.44541484716157204,0.44541484716157204,0.4497816593886463,0.4497816593886463,0.4497816593886463,0.45414847161572053,0.45414847161572053,0.4585152838427948,0.4585152838427948,0.462882096069869,0.462882096069869,0.462882096069869,0.462882096069869,0.462882096069869,0.48034934497816595,0.4847161572052402,0.4847161572052402,0.4847161572052402,0.4890829694323144,0.4978165938864629,0.5021834061135371,0.5109170305676856,0.5152838427947598,0.5152838427947598,0.5152838427947598,0.5240174672489083,0.5240174672489083,0.5240174672489083,0.5327510917030568,0.5327510917030568,0.5327510917030568,0.5545851528384279",0.008527413876758856,0.00975012130033964,Ayagaures,ParqueSur
4,retinaface,none,Facenet,euclidean,"0.013100436681222707,0.026200873362445413,0.039301310043668124,0.048034934497816595,0.05240174672489083,0.05240174672489083,0.05240174672489083,0.06550218340611354,0.06550218340611354,0.07423580786026202,0.07860262008733625,0.08296943231441048,0.08733624454148471,0.09606986899563319,0.10043668122270742,0.10043668122270742,0.1091703056768559,0.11790393013100436,0.11790393013100436,0.13973799126637554,0.14410480349344978,0.14847161572052403,0.14847161572052403,0.14847161572052403,0.15283842794759825,0.15283842794759825,0.1572052401746725,0.1703056768558952,0.17467248908296942,0.17467248908296942,0.17903930131004367,0.19213973799126638,0.1965065502183406,0.20087336244541484,0.20087336244541484,0.20087336244541484,0.20087336244541484,0.2052401746724891,0.2096069868995633,0.21397379912663755,0.21397379912663755,0.22707423580786026,0.22707423580786026,0.22707423580786026,0.2314410480349345,0.2314410480349345,0.23580786026200873,0.24017467248908297,0.24017467248908297,0.25327510917030566,0.2576419213973799,0.26200873362445415,0.27074235807860264,0.2838427947598253,0.3056768558951965,0.31877729257641924,0.3318777292576419,0.3406113537117904,0.34934497816593885,0.3537117903930131,0.35807860262008734,0.36681222707423583,0.37117903930131,0.37117903930131,0.37554585152838427,0.37554585152838427,0.3799126637554585,0.38427947598253276,0.3930131004366812,0.3930131004366812,0.4017467248908297,0.4104803493449782,0.4148471615720524,0.4279475982532751,0.4410480349344978,0.4410480349344978,0.4585152838427948,0.4585152838427948,0.4585152838427948,0.4585152838427948,0.4585152838427948,0.4585152838427948,0.4585152838427948,0.4585152838427948,0.4585152838427948,0.462882096069869,0.4672489082969432,0.47161572052401746,0.48034934497816595,0.48034934497816595,0.48034934497816595,0.48034934497816595,0.4847161572052402,0.4890829694323144,0.4978165938864629,0.5021834061135371,0.5065502183406113,0.5065502183406113,0.5152838427947598,0.519650655021834,0.5240174672489083,0.5240174672489083,0.537117903930131,0.537117903930131,0.5502183406113537,0.5545851528384279,0.5589519650655022",0.010607714701601163,0.011830422125181952,Ayagaures,ParqueSur
5,retinaface,none,Facenet,euclidean_l2,"0.004366812227074236,0.021834061135371178,0.03056768558951965,0.048034934497816595,0.05240174672489083,0.05240174672489083,0.056768558951965066,0.06550218340611354,0.06986899563318777,0.06986899563318777,0.07423580786026202,0.08733624454148471,0.08733624454148471,0.10043668122270742,0.10480349344978165,0.1091703056768559,0.11353711790393013,0.11790393013100436,0.1222707423580786,0.13100436681222707,0.14847161572052403,0.14847161572052403,0.14847161572052403,0.15283842794759825,0.1572052401746725,0.1572052401746725,0.1572052401746725,0.1615720524017467,0.16593886462882096,0.18340611353711792,0.18340611353711792,0.19213973799126638,0.1965065502183406,0.2052401746724891,0.2052401746724891,0.2096069868995633,0.2096069868995633,0.21397379912663755,0.21397379912663755,0.21397379912663755,0.2183406113537118,0.2183406113537118,0.22707423580786026,0.2314410480349345,0.24017467248908297,0.24017467248908297,0.24017467248908297,0.24890829694323144,0.2663755458515284,0.27074235807860264,0.27510917030567683,0.27510917030567683,0.2925764192139738,0.31004366812227074,0.31004366812227074,0.3231441048034934,0.3231441048034934,0.33624454148471616,0.35807860262008734,0.35807860262008734,0.36681222707423583,0.36681222707423583,0.36681222707423583,0.37117903930131,0.37554585152838427,0.38427947598253276,0.38427947598253276,0.38427947598253276,0.388646288209607,0.39737991266375544,0.40611353711790393,0.4104803493449782,0.4104803493449782,0.42358078602620086,0.4279475982532751,0.4410480349344978,0.4410480349344978,0.44541484716157204,0.44541484716157204,0.44541484716157204,0.4497816593886463,0.4497816593886463,0.45414847161572053,0.45414847161572053,0.4585152838427948,0.4585152838427948,0.4585152838427948,0.4585152838427948,0.4585152838427948,0.4759825327510917,0.48034934497816595,0.48034934497816595,0.48034934497816595,0.4847161572052402,0.49344978165938863,0.4978165938864629,0.5065502183406113,0.5109170305676856,0.5109170305676856,0.5109170305676856,0.519650655021834,0.519650655021834,0.519650655021834,0.5283842794759825,0.5283842794759825,0.5283842794759825,0.5502183406113537",0.008891314895681708,0.010114022319262495,Ayagaures,ParqueSur
6,retinaface,dimension,VGG-Face,cosine,"0.008771929824561403,0.043859649122807015,0.08771929824561403,0.12280701754385964,0.12280701754385964,0.13157894736842105,0.14035087719298245,0.14035087719298245,0.14035087719298245,0.15789473684210525,0.16666666666666666,0.17543859649122806,0.18421052631578946,0.20175438596491227,0.21052631578947367,0.21929824561403508,0.21929824561403508,0.24561403508771928,0.2543859649122807,0.2631578947368421,0.2631578947368421,0.2982456140350877,0.30701754385964913,0.30701754385964913,0.3157894736842105,0.3333333333333333,0.3333333333333333,0.34210526315789475,0.3508771929824561,0.3508771929824561,0.3508771929824561,0.3508771929824561,0.3508771929824561,0.3684210526315789,0.37719298245614036,0.38596491228070173,0.38596491228070173,0.39473684210526316,0.39473684210526316,0.39473684210526316,0.40350877192982454,0.41228070175438597,0.42105263157894735,0.4298245614035088,0.4298245614035088,0.43859649122807015,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.45614035087719296,0.4649122807017544,0.4649122807017544,0.4649122807017544,0.4649122807017544,0.47368421052631576,0.49122807017543857,0.5,0.5175438596491229,0.5175438596491229,0.5175438596491229,0.5263157894736842,0.5526315789473685,0.5526315789473685,0.5614035087719298,0.5789473684210527,0.5789473684210527,0.5877192982456141,0.6052631578947368,0.6140350877192983,0.6140350877192983,0.6140350877192983,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421,0.6578947368421053,0.6666666666666666,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.6929824561403509,0.7192982456140351,0.7280701754385965,0.7280701754385965,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7456140350877193,0.7456140350877193,0.7543859649122807,0.7543859649122807,0.7631578947368421,0.7631578947368421,0.7719298245614035,0.7719298245614035,0.7719298245614035",0.03275462962962964,0.03450901559454191,Ayagaures,ParqueSur
7,retinaface,dimension,VGG-Face,euclidean,"0.017543859649122806,0.05263157894736842,0.05263157894736842,0.07017543859649122,0.09649122807017543,0.10526315789473684,0.11403508771929824,0.11403508771929824,0.12280701754385964,0.12280701754385964,0.12280701754385964,0.14035087719298245,0.14912280701754385,0.17543859649122806,0.19298245614035087,0.20175438596491227,0.20175438596491227,0.21052631578947367,0.21052631578947367,0.21929824561403508,0.22807017543859648,0.23684210526315788,0.24561403508771928,0.2543859649122807,0.2631578947368421,0.2719298245614035,0.2719298245614035,0.2807017543859649,0.2807017543859649,0.2807017543859649,0.2807017543859649,0.2807017543859649,0.2807017543859649,0.2807017543859649,0.2807017543859649,0.2807017543859649,0.2894736842105263,0.2894736842105263,0.2982456140350877,0.30701754385964913,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.32456140350877194,0.32456140350877194,0.32456140350877194,0.3333333333333333,0.3333333333333333,0.3508771929824561,0.35964912280701755,0.3684210526315789,0.37719298245614036,0.40350877192982454,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.4298245614035088,0.4298245614035088,0.4473684210526316,0.45614035087719296,0.4649122807017544,0.47368421052631576,0.4824561403508772,0.4824561403508772,0.49122807017543857,0.5087719298245614,0.5175438596491229,0.5263157894736842,0.5350877192982456,0.5350877192982456,0.5350877192982456,0.5350877192982456,0.543859649122807,0.543859649122807,0.543859649122807,0.543859649122807,0.5526315789473685,0.5526315789473685,0.5526315789473685,0.5526315789473685,0.5526315789473685,0.5789473684210527,0.5789473684210527,0.5964912280701754,0.6228070175438597,0.6228070175438597,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421,0.6403508771929824,0.6491228070175439,0.6491228070175439,0.6491228070175439,0.6491228070175439,0.6578947368421053,0.6578947368421053,0.6578947368421053,0.6578947368421053,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6754385964912281,0.6754385964912281",0.02086988304093567,0.022119883040935668,Ayagaures,ParqueSur
8,retinaface,dimension,VGG-Face,euclidean_l2,"0.008771929824561403,0.03508771929824561,0.07017543859649122,0.12280701754385964,0.12280701754385964,0.12280701754385964,0.14035087719298245,0.14035087719298245,0.14035087719298245,0.14912280701754385,0.16666666666666666,0.17543859649122806,0.17543859649122806,0.17543859649122806,0.19298245614035087,0.21052631578947367,0.21052631578947367,0.22807017543859648,0.23684210526315788,0.2543859649122807,0.2543859649122807,0.2543859649122807,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2719298245614035,0.2807017543859649,0.2982456140350877,0.2982456140350877,0.32456140350877194,0.3333333333333333,0.34210526315789475,0.34210526315789475,0.34210526315789475,0.34210526315789475,0.34210526315789475,0.35964912280701755,0.35964912280701755,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.37719298245614036,0.37719298245614036,0.38596491228070173,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.4298245614035088,0.4298245614035088,0.43859649122807015,0.43859649122807015,0.43859649122807015,0.43859649122807015,0.43859649122807015,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.45614035087719296,0.4649122807017544,0.4649122807017544,0.47368421052631576,0.4824561403508772,0.4824561403508772,0.49122807017543857,0.5,0.5,0.5087719298245614,0.5175438596491229,0.5263157894736842,0.5263157894736842,0.5350877192982456,0.5350877192982456,0.5701754385964912,0.5789473684210527,0.5789473684210527,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.6140350877192983,0.6228070175438597,0.6228070175438597,0.6228070175438597,0.631578947368421,0.631578947368421,0.631578947368421,0.6403508771929824,0.6491228070175439,0.6491228070175439,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6754385964912281,0.6754385964912281,0.6754385964912281,0.6929824561403509,0.7017543859649122,0.7017543859649122,0.7017543859649122,0.7017543859649122",0.03503898635477583,0.036793372319688114,Ayagaures,ParqueSur
9,retinaface,dimension,Facenet,cosine,"0.008771929824561403,0.03508771929824561,0.043859649122807015,0.07017543859649122,0.07894736842105263,0.07894736842105263,0.08771929824561403,0.08771929824561403,0.09649122807017543,0.09649122807017543,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.11403508771929824,0.12280701754385964,0.12280701754385964,0.13157894736842105,0.13157894736842105,0.13157894736842105,0.13157894736842105,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.17543859649122806,0.18421052631578946,0.21052631578947367,0.21052631578947367,0.21929824561403508,0.22807017543859648,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.24561403508771928,0.24561403508771928,0.2543859649122807,0.2631578947368421,0.2719298245614035,0.2719298245614035,0.2719298245614035,0.2807017543859649,0.2894736842105263,0.2894736842105263,0.2982456140350877,0.2982456140350877,0.3157894736842105,0.34210526315789475,0.34210526315789475,0.3508771929824561,0.3508771929824561,0.35964912280701755,0.37719298245614036,0.37719298245614036,0.38596491228070173,0.38596491228070173,0.38596491228070173,0.39473684210526316,0.39473684210526316,0.39473684210526316,0.39473684210526316,0.39473684210526316,0.40350877192982454,0.41228070175438597,0.4298245614035088,0.4298245614035088,0.4298245614035088,0.45614035087719296,0.45614035087719296,0.4824561403508772,0.4824561403508772,0.4824561403508772,0.4824561403508772,0.4824561403508772,0.4824561403508772,0.4824561403508772,0.49122807017543857,0.49122807017543857,0.5,0.5,0.5,0.5,0.5,0.5087719298245614,0.5087719298245614,0.5087719298245614,0.5087719298245614,0.5087719298245614,0.5263157894736842,0.5263157894736842,0.543859649122807,0.543859649122807,0.543859649122807,0.543859649122807,0.5526315789473685,0.5526315789473685,0.5526315789473685,0.5526315789473685,0.5526315789473685,0.5526315789473685,0.5877192982456141",0.013596491228070173,0.01605263157894737,Ayagaures,ParqueSur
